"id","address_id","company_id","fullname","age","version","email","phonenumber","is_active","birthdate","last_active_at","latitude","roles","created_at","updated_at","position_id"
1,1,4,"Carissa Jerde",47,4.6,"bdeckow@hilpert.com","625-636-8392x1551",1,"2016-10-28","1983-12-16 12:03:36",60.57085100,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",3
2,7,6,"Landen Kirlin",37,4.7,"turcotte.deion@hotmail.com","683-521-9883",1,"1987-11-22","1973-10-31 05:28:50",81.11630500,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",2
3,5,10,"Sydnee Pfannerstill",20,5.9,"schuster.aleen@hotmail.com","(335)388-5695",0,"1989-12-23","2014-01-11 07:29:43",31.21980200,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",4
4,8,10,"Tristian Cruickshank",46,0.4,"qharber@gmail.com","697-733-8234x993",1,"1983-03-23","2004-06-08 09:38:55",54.99815000,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",4
5,3,2,"Lon Hessel",39,5.4,"moen.kaya@gmail.com","1-844-822-4075x7895",0,"2008-09-15","1978-06-18 05:54:17",77.45031000,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",NULL
6,9,9,"Anabelle VonRueden",30,2,"rippin.jairo@hotmail.com","+46(8)8833077641",0,"2002-04-09","2020-01-24 03:38:57",93.17987100,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",6
7,1,2,"Bertha Emmerich",21,4.2,"caleigh.cronin@gmail.com","05732705458",1,"1982-01-27","1981-05-11 08:51:31",32.13615500,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",7
8,3,7,"Isobel Yost",48,5.6,"wilderman.noel@hotmail.com","1-399-793-0532",0,"2006-04-10","1975-06-03 07:15:39",49.70052300,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",NULL
9,9,6,"Jared Kassulke",41,1.9,"gilda64@corwin.org","086-963-8849x069",0,"1988-07-10","1982-08-09 03:29:05",83.36226600,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",2
10,3,9,"Elna Corkery",32,4.9,"asia93@yahoo.com","1-367-067-6507",1,"1981-03-22","2000-05-23 02:08:45",64.82444500,"a:0:{}","2022-10-22 19:32:34","2022-10-22 19:32:34",6
